X,Y,Date,Site,GenSite,Season,Lat,Long,Flow,Discharge,pH,Temp_pH,SpecCond,Temp_sc,pH_est,Temp_est,Balance,Flag,Ca,CO2,CO2_iso,DIC,DIC_iso,Bicarb,Carb,CarbAcid,CO2_aq,Bicarb_per,logSI,DelDICCO2,eDICCO2,Time
-94.222514,36.449534,2012/10/03,BS06,cave,fall,36.44953400000,-94.22251400000,baseflow,0.00900000000,8.20000000000,14.60000000000,215.90000000000,14.50000000000,-9999.00000000000,-9999.00000000000,13.00000000000,E,49.80000000000,1222.00000000000,-13.63000000000,23.90000000000,-11.69000000000,0.00195000000,0.00001440000,0.00002800000,0.00002800000,98.00000000000,0.45000000000,1.90000000000,8.90000000000,11:15
-94.222514,36.449534,2012/10/26,BS06,cave,fall,36.44953400000,-94.22251400000,baseflow,0.01000000000,8.50000000000,14.50000000000,203.40000000000,14.50000000000,-9999.00000000000,-9999.00000000000,1.00000000000,-9999,36.80000000000,658.00000000000,-16.42000000000,24.00000000000,-12.05000000000,0.00196000000,0.00002540000,0.00001600000,0.00001600000,98.00000000000,0.55000000000,4.40000000000,9.00000000000,9:45
-94.222514,36.449534,2012/11/08,BS06,cave,fall,36.44953400000,-94.22251400000,baseflow,0.01000000000,8.60000000000,14.60000000000,208.90000000000,14.60000000000,-9999.00000000000,-9999.00000000000,1.00000000000,-9999,38.20000000000,728.00000000000,-16.82000000000,24.90000000000,-9.47000000000,0.00203000000,0.00003640000,0.00001200000,0.00001200000,98.00000000000,0.72000000000,7.30000000000,9.00000000000,16:00
-94.222514,36.449534,2012/11/16,BS06,cave,fall,36.44953400000,-94.22251400000,baseflow,0.00800000000,8.50000000000,14.40000000000,204.20000000000,14.50000000000,-9999.00000000000,-9999.00000000000,3.00000000000,-9999,38.80000000000,682.00000000000,-13.38000000000,23.30000000000,-9.43000000000,0.00190000000,0.00002770000,0.00001400000,0.00001400000,98.00000000000,0.61000000000,4.00000000000,9.00000000000,10:30
-94.222514,36.449534,2012/11/30,BS06,cave,fall,36.44953400000,-94.22251400000,baseflow,0.00900000000,8.40000000000,14.50000000000,190.60000000000,14.60000000000,-9999.00000000000,-9999.00000000000,1.00000000000,-9999,38.50000000000,680.00000000000,-11.55000000000,24.10000000000,-8.78000000000,0.00196000000,0.00002440000,0.00001700000,0.00001700000,98.00000000000,0.55000000000,2.80000000000,8.90000000000,14:15
-94.222514,36.449534,2012/12/14,BS06,cave,fall,36.44953400000,-94.22251400000,baseflow,0.00900000000,8.60000000000,14.50000000000,184.60000000000,14.50000000000,-9999.00000000000,-9999.00000000000,0.00000000000,-9999,33.30000000000,600.00000000000,-14.60000000000,21.30000000000,-8.75000000000,0.00173000000,0.00003210000,0.00001000000,0.00001000000,98.00000000000,0.62000000000,5.90000000000,9.00000000000,13:15
-94.222514,36.449534,2013/02/08,BS06,cave,winter,36.44953400000,-94.22251400000,baseflow,0.01200000000,8.00000000000,14.50000000000,156.30000000000,14.50000000000,-9999.00000000000,-9999.00000000000,0.00000000000,-9999,27.40000000000,588.00000000000,-10.64000000000,17.40000000000,-8.87000000000,0.00141000000,0.00000660000,0.00003200000,0.00003200000,97.00000000000,-0.14000000000,1.80000000000,8.80000000000,15:10
-94.222514,36.449534,2013/03/06,BS06,cave,winter,36.44953400000,-94.22251400000,baseflow,0.01200000000,8.40000000000,14.40000000000,137.10000000000,14.60000000000,-9999.00000000000,-9999.00000000000,2.00000000000,-9999,24.80000000000,538.00000000000,-11.24000000000,15.10000000000,-8.35000000000,0.00123000000,0.00001250000,0.00001300000,0.00001300000,98.00000000000,0.10000000000,2.90000000000,8.90000000000,13:15
-94.222514,36.449534,2013/04/06,BS06,cave,spring,36.44953400000,-94.22251400000,storm,0.03300000000,8.80000000000,15.50000000000,107.20000000000,14.40000000000,-9999.00000000000,-9999.00000000000,4.00000000000,-9999,18.90000000000,662.00000000000,-13.09000000000,11.20000000000,-10.74000000000,0.00090000000,0.00002390000,0.00000400000,0.00000400000,97.00000000000,0.29000000000,2.40000000000,8.90000000000,11:35
-94.222514,36.449534,2013/05/01,BS06,cave,spring,36.44953400000,-94.22251400000,storm,0.03900000000,7.90000000000,14.30000000000,115.90000000000,14.30000000000,-9999.00000000000,-9999.00000000000,1.00000000000,-9999,20.10000000000,1376.00000000000,-19.26000000000,12.30000000000,-11.63000000000,0.00099000000,0.00000330000,0.00003200000,0.00003200000,97.00000000000,-0.56000000000,7.60000000000,8.80000000000,19:30
