,discharge,quality
2015-09-15,74.2,A
2015-09-16,67.8,A
2015-09-17,64.0,A
2015-09-18,61.6,A
2015-09-19,59.2,A
2015-09-20,56.6,A
2015-09-21,55.8,A
2015-09-22,54.4,A
2015-09-23,53.0,A
2015-09-24,51.5,A
2015-09-25,49.9,A
2015-09-26,48.5,A
2015-09-27,47.1,A
2015-09-28,46.9,A
2015-09-29,46.3,A
2015-09-30,46.0,A
2015-10-01,45.4,A
2015-10-02,43.8,A
2015-10-03,42.6,A
2015-10-04,42.2,A
2015-10-05,42.2,A
2015-10-06,42.5,A
2015-10-07,42.0,A
2015-10-08,41.3,A
2015-10-09,42.1,A
2015-10-10,42.7,A
2015-10-11,42.3,A
2015-10-12,54.6,A
2015-10-13,98.4,A
2015-10-14,47.6,A
2015-10-15,40.8,A
2015-10-16,40.9,A
2015-10-17,43.2,A
2015-10-18,42.2,A
2015-10-19,41.3,A
2015-10-20,39.7,A
2015-10-21,39.5,A
2015-10-22,39.1,A
2015-10-23,40.3,A
2015-10-24,35.7,A
2015-10-25,30.9,A
2015-10-26,29.1,A
2015-10-27,36.8,A
2015-10-28,35.0,A
2015-10-29,40.8,A
2015-10-30,41.9,A
2015-10-31,45.3,A
2015-11-01,51.9,A
2015-11-02,50.0,A
2015-11-03,46.0,A
2015-11-04,44.7,A
2015-11-05,42.7,A
2015-11-06,51.6,A
2015-11-07,52.3,A
2015-11-08,47.2,A
2015-11-09,43.8,A
2015-11-10,41.8,A
2015-11-11,38.4,A
2015-11-12,40.3,A
2015-11-13,37.1,A
2015-11-14,36.6,A
2015-11-15,38.1,A
2015-11-16,45.8,A
2015-11-17,558.0,A
2015-11-18,664.0,A
2015-11-19,357.0,A
2015-11-20,260.0,A
2015-11-21,206.0,A
2015-11-22,178.0,A
2015-11-23,156.0,A
2015-11-24,139.0,A
2015-11-25,126.0,A
2015-11-26,116.0,A
2015-11-27,674.0,A
2015-11-28,1220.0,A
2015-11-29,896.0,A
2015-11-30,624.0,A
2015-12-01,473.0,A
2015-12-02,384.0,A
2015-12-03,322.0,A
2015-12-04,274.0,A
2015-12-05,240.0,A
2015-12-06,214.0,A
2015-12-07,195.0,A
2015-12-08,181.0,A
2015-12-09,169.0,A
2015-12-10,158.0,A
2015-12-11,152.0,A
2015-12-12,150.0,A
2015-12-13,887.0,A
2015-12-14,1740.0,A
2015-12-15,959.0,A
2015-12-16,616.0,A
2015-12-17,458.0,A
2015-12-18,369.0,A
2015-12-19,312.0,A
2015-12-20,271.0,A
2015-12-21,246.0,A
2015-12-22,224.0,A
2015-12-23,213.0,A
2015-12-24,209.0,A
2015-12-25,191.0,A
2015-12-26,1510.0,A
2015-12-27,19100.0,A
2015-12-28,13000.0,A
2015-12-29,2980.0,A
2015-12-30,1390.0,A
2015-12-31,850.0,A
2016-01-01,615.0,A
2016-01-02,507.0,A
2016-01-03,437.0,A
2016-01-04,387.0,A
2016-01-05,353.0,A
2016-01-06,325.0,A
2016-01-07,312.0,A
2016-01-08,314.0,A
2016-01-09,308.0,A
2016-01-10,311.0,A
2016-01-11,304.0,A
2016-01-12,296.0,A
2016-01-13,281.0,A
2016-01-14,268.0,A
2016-01-15,257.0,A
2016-01-16,245.0,A
2016-01-17,230.0,A
2016-01-18,218.0,A
2016-01-19,210.0,A
2016-01-20,202.0,A
2016-01-21,197.0,A
2016-01-22,190.0,A
2016-01-23,185.0,A
2016-01-24,180.0,A
2016-01-25,175.0,A
2016-01-26,173.0,A
2016-01-27,166.0,A
2016-01-28,163.0,A
2016-01-29,157.0,A
2016-01-30,157.0,A
2016-01-31,152.0,A
2016-02-01,149.0,A
2016-02-02,146.0,A
2016-02-03,146.0,A
2016-02-04,141.0,A
2016-02-05,137.0,A
2016-02-06,131.0,A
2016-02-07,127.0,A
2016-02-08,125.0,A
2016-02-09,122.0,A
2016-02-10,116.0,A
2016-02-11,113.0,A
2016-02-12,110.0,A
2016-02-13,106.0,A
2016-02-14,104.0,A
2016-02-15,104.0,A
2016-02-16,103.0,A
2016-02-17,103.0,A
2016-02-18,96.9,A
2016-02-19,98.4,A
2016-02-20,94.8,A
2016-02-21,93.2,A
2016-02-22,90.7,A
2016-02-23,90.7,A
2016-02-24,94.4,A
2016-02-25,95.8,A
2016-02-26,94.3,A
2016-02-27,90.3,A
2016-02-28,87.1,A
2016-02-29,87.5,A
2016-03-01,88.7,A
2016-03-02,90.7,A
2016-03-03,92.3,A
2016-03-04,90.3,A
2016-03-05,88.5,A
2016-03-06,84.6,A
2016-03-07,85.1,A
2016-03-08,99.4,A
2016-03-09,189.0,A
2016-03-10,211.0,A
2016-03-11,210.0,A
2016-03-12,207.0,A
2016-03-13,215.0,A
2016-03-14,346.0,A
2016-03-15,295.0,A
2016-03-16,258.0,A
2016-03-17,234.0,A
2016-03-18,217.0,A
2016-03-19,202.0,A
2016-03-20,189.0,A
2016-03-21,179.0,A
2016-03-22,166.0,A
2016-03-23,159.0,A
2016-03-24,194.0,A
2016-03-25,203.0,A
2016-03-26,188.0,A
2016-03-27,182.0,A
2016-03-28,175.0,A
2016-03-29,164.0,A
2016-03-30,160.0,A
2016-03-31,163.0,A
2016-04-01,164.0,A
2016-04-02,156.0,A
2016-04-03,150.0,A
2016-04-04,144.0,A
2016-04-05,136.0,A
2016-04-06,132.0,A
2016-04-07,126.0,A
2016-04-08,123.0,A
2016-04-09,116.0,A
2016-04-10,111.0,A
2016-04-11,119.0,A
2016-04-12,115.0,A
2016-04-13,109.0,A
2016-04-14,106.0,A
2016-04-15,103.0,A
2016-04-16,101.0,A
2016-04-17,96.8,A
2016-04-18,100.0,A
2016-04-19,107.0,A
2016-04-20,108.0,A
2016-04-21,102.0,A
2016-04-22,97.8,A
2016-04-23,95.0,A
2016-04-24,90.7,A
2016-04-25,88.6,A
2016-04-26,84.8,A
2016-04-27,114.0,A
2016-04-28,140.0,A
2016-04-29,135.0,A
2016-04-30,325.0,A
2016-05-01,324.0,A
2016-05-02,263.0,A
2016-05-03,229.0,A
2016-05-04,203.0,A
2016-05-05,183.0,A
2016-05-06,168.0,A
2016-05-07,154.0,A
2016-05-08,143.0,A
2016-05-09,139.0,A
2016-05-10,141.0,A
2016-05-11,127.0,A
2016-05-12,133.0,A
2016-05-13,124.0,A
2016-05-14,114.0,A
2016-05-15,105.0,A
2016-05-16,104.0,A
2016-05-17,113.0,A
2016-05-18,109.0,A
2016-05-19,101.0,A
2016-05-20,97.4,A
2016-05-21,97.1,A
2016-05-22,93.0,A
2016-05-23,90.0,A
2016-05-24,103.0,A
2016-05-25,125.0,A
2016-05-26,250.0,A
2016-05-27,190.0,A
2016-05-28,167.0,A
2016-05-29,151.0,A
2016-05-30,138.0,A
2016-05-31,140.0,A
2016-06-01,136.0,A
2016-06-02,140.0,A
2016-06-03,136.0,A
2016-06-04,157.0,A
2016-06-05,197.0,A
2016-06-06,170.0,A
2016-06-07,143.0,A
2016-06-08,141.0,A
2016-06-09,132.0,A
2016-06-10,124.0,A
2016-06-11,115.0,A
2016-06-12,124.0,A
2016-06-13,173.0,A
2016-06-14,156.0,A
2016-06-15,141.0,A
